Provinsi,Region,Cluster_KMeans,Cluster_Name,Mean_Annual_Rainfall,Mean_Rainy_Days,Rainfall_Variability,Aridity_Index,Climate_Zone,Soil_Volcanic,Soil_Alluvial,Soil_Organic_Peat,Soil_Calcareous,Soil_Quality_Index,Primary_Crops,Diversification_Crops
Aceh,Sumatra,0,Moderate Rainfall Sumatra,1565.8,145.2,446.93095663648097,0.62632,Tropical_Moist,0.3,0.7,0.8,0.2,0.505,"Sago, Rice","Cassava, Taro, Sweet Potato"
Jambi,Sumatra,0,Moderate Rainfall Sumatra,1947.7,192.6,244.45476064090053,0.77908,Tropical_Moist,0.3,0.7,0.8,0.2,0.505,"Sago, Rice","Cassava, Taro, Sweet Potato"
Lampung,Sumatra,0,Moderate Rainfall Sumatra,1804.06,157.6,367.9596893682784,0.7216239999999999,Tropical_Moist,0.3,0.7,0.8,0.2,0.505,"Sago, Rice","Cassava, Taro, Sweet Potato"
Riau,Sumatra,0,Moderate Rainfall Sumatra,2412.34,194.0,241.93278612044287,0.964936,Tropical_Wet,0.3,0.7,0.8,0.2,0.505,"Sago, Rice","Cassava, Taro, Sweet Potato"
Bali,Java_Bali,1,Java-Bali Volcanic Zone,1733.7,149.4,382.0501799502259,0.69348,Tropical_Moist,0.9,0.8,0.1,0.4,0.5900000000000001,"Rice, Maize","Sweet Potato, Cassava, Potato, Taro"
Banten,Java_Bali,1,Java-Bali Volcanic Zone,1748.42,174.6,1030.286310692324,0.699368,Tropical_Moist,0.9,0.8,0.1,0.4,0.5900000000000001,"Rice, Maize","Sweet Potato, Cassava, Potato, Taro"
DI Yogyakarta,Java_Bali,1,Java-Bali Volcanic Zone,2135.88,152.2,147.75502360326024,0.854352,Tropical_Wet,0.9,0.8,0.1,0.4,0.5900000000000001,"Rice, Maize","Sweet Potato, Cassava, Potato, Taro"
DKI Jakarta,Java_Bali,1,Java-Bali Volcanic Zone,2089.2200000000003,147.25,670.9274118710607,0.8356880000000001,Tropical_Moist,0.9,0.8,0.1,0.4,0.5900000000000001,"Rice, Maize","Sweet Potato, Cassava, Potato, Taro"
Jawa Barat,Java_Bali,1,Java-Bali Volcanic Zone,2313.66,215.4,342.08789513807704,0.925464,Tropical_Wet,0.9,0.8,0.1,0.4,0.5900000000000001,"Rice, Maize","Sweet Potato, Cassava, Potato, Taro"
Jawa Tengah,Java_Bali,1,Java-Bali Volcanic Zone,2200.7400000000002,170.4,449.249026710131,0.8802960000000001,Tropical_Wet,0.9,0.8,0.1,0.4,0.5900000000000001,"Rice, Maize","Sweet Potato, Cassava, Potato, Taro"
Jawa Timur,Java_Bali,1,Java-Bali Volcanic Zone,1890.78,156.0,328.51106830668584,0.756312,Tropical_Moist,0.9,0.8,0.1,0.4,0.5900000000000001,"Rice, Maize","Sweet Potato, Cassava, Potato, Taro"
Kalimantan Barat,Kalimantan,2,Humid Kalimantan-Papua Barat,3020.96,211.5,267.21465715787383,1.2083840000000001,Equatorial_Humid,0.1,0.5,0.9,0.1,0.42500000000000004,"Sago, Swamp Rice","Taro, Wild Yams"
Kalimantan Selatan,Kalimantan,2,Humid Kalimantan-Papua Barat,2624.7200000000003,210.0,254.06237816725246,1.0498880000000002,Tropical_Wet,0.1,0.5,0.9,0.1,0.42500000000000004,"Sago, Swamp Rice","Taro, Wild Yams"
Kalimantan Tengah,Kalimantan,2,Humid Kalimantan-Papua Barat,2978.48,199.8,354.1770842389439,1.191392,Tropical_Wet,0.1,0.5,0.9,0.1,0.42500000000000004,"Sago, Swamp Rice","Taro, Wild Yams"
Kalimantan Timur,Kalimantan,2,Humid Kalimantan-Papua Barat,2551.36,210.6,370.8072990112249,1.0205440000000001,Tropical_Wet,0.1,0.5,0.9,0.1,0.42500000000000004,"Sago, Swamp Rice","Taro, Wild Yams"
Kalimantan Utara,Kalimantan,2,Humid Kalimantan-Papua Barat,2706.7000000000003,222.33333333333334,423.65949771013044,1.08268,Tropical_Wet,0.1,0.5,0.9,0.1,0.42500000000000004,"Sago, Swamp Rice","Taro, Wild Yams"
Papua Barat,Maluku_Papua,2,Humid Kalimantan-Papua Barat,3011.86,240.4,322.38053291103046,1.204744,Equatorial_Humid,0.3,0.6,0.7,0.3,0.49499999999999994,"Sago, Swamp Rice","Taro, Wild Yams"
Bengkulu,Sumatra,3,Wet Mixed Islands,3129.45,183.25,662.3485512427225,1.25178,Tropical_Wet,0.3,0.7,0.8,0.2,0.505,"Rice, Sago","Cassava, Sweet Potato, Taro"
Kepulauan Bangka Belitung,Sumatra,3,Wet Mixed Islands,2197.5800000000004,198.6,648.0280564913837,0.8790320000000001,Tropical_Wet,0.3,0.7,0.8,0.2,0.505,"Rice, Sago","Cassava, Sweet Potato, Taro"
Kepulauan Riau,Sumatra,3,Wet Mixed Islands,3170.06,196.4,598.6934006651485,1.268024,Tropical_Wet,0.3,0.7,0.8,0.2,0.505,"Rice, Sago","Cassava, Sweet Potato, Taro"
Maluku,Maluku_Papua,3,Wet Mixed Islands,3402.3,219.75,1376.6937059491481,1.3609200000000001,Equatorial_Humid,0.3,0.6,0.7,0.3,0.49499999999999994,"Rice, Sago","Cassava, Sweet Potato, Taro"
Maluku Utara,Maluku_Papua,3,Wet Mixed Islands,2099.85,191.0,932.8010631068842,0.8399399999999999,Tropical_Wet,0.3,0.6,0.7,0.3,0.49499999999999994,"Rice, Sago","Cassava, Sweet Potato, Taro"
Papua,Maluku_Papua,3,Wet Mixed Islands,2434.38,207.2,1039.3573601028668,0.9737520000000001,Tropical_Wet,0.3,0.6,0.7,0.3,0.49499999999999994,"Rice, Sago","Cassava, Sweet Potato, Taro"
Sulawesi Selatan,Sulawesi,3,Wet Mixed Islands,3210.4,185.0,594.2867994495588,1.28416,Tropical_Wet,0.4,0.6,0.3,0.7,0.51,"Rice, Sago","Cassava, Sweet Potato, Taro"
Sulawesi Utara,Sulawesi,3,Wet Mixed Islands,2881.16,225.4,689.0394241260801,1.152464,Tropical_Wet,0.4,0.6,0.3,0.7,0.51,"Rice, Sago","Cassava, Sweet Potato, Taro"
Sumatera Barat,Sumatra,3,Wet Mixed Islands,3838.2,202.5,807.7650978677731,1.53528,Equatorial_Humid,0.3,0.7,0.8,0.2,0.505,"Rice, Sago","Cassava, Sweet Potato, Taro"
Sumatera Selatan,Sumatra,3,Wet Mixed Islands,2540.1400000000003,192.6,735.6016707430728,1.016056,Tropical_Wet,0.3,0.7,0.8,0.2,0.505,"Rice, Sago","Cassava, Sweet Potato, Taro"
Sumatera Utara,Sumatra,3,Wet Mixed Islands,2193.58,195.0,815.2969900594506,0.877432,Tropical_Wet,0.3,0.7,0.8,0.2,0.505,"Rice, Sago","Cassava, Sweet Potato, Taro"
Gorontalo,Sulawesi,4,Dry Eastern Corridor,1619.38,171.4,519.9228135021582,0.647752,Tropical_Moist,0.4,0.6,0.3,0.7,0.51,"Sorghum, Millet","Cassava, Maize, Arrowroot"
Nusa Tenggara Barat,Nusa_Tenggara,4,Dry Eastern Corridor,1736.9249999999997,127.5,471.8665091951324,0.6947699999999999,Tropical_Moist,0.6,0.4,0.05,0.8,0.4675,"Sorghum, Millet","Cassava, Maize, Arrowroot"
Nusa Tenggara Timur,Nusa_Tenggara,4,Dry Eastern Corridor,1576.1200000000001,107.8,364.4554458366619,0.630448,Tropical_Seasonal,0.6,0.4,0.05,0.8,0.4675,"Sorghum, Millet","Cassava, Maize, Arrowroot"
Sulawesi Barat,Sulawesi,4,Dry Eastern Corridor,1338.78,156.8,305.0684546130589,0.535512,Tropical_Seasonal,0.4,0.6,0.3,0.7,0.51,"Sorghum, Millet","Cassava, Maize, Arrowroot"
Sulawesi Tengah,Sulawesi,4,Dry Eastern Corridor,699.74,117.5,161.3970043092498,0.279896,Semi_Arid,0.4,0.6,0.3,0.7,0.51,"Sorghum, Millet","Cassava, Maize, Arrowroot"
Sulawesi Tenggara,Sulawesi,4,Dry Eastern Corridor,1995.75,160.0,535.3737977650134,0.7983,Tropical_Moist,0.4,0.6,0.3,0.7,0.51,"Sorghum, Millet","Cassava, Maize, Arrowroot"
